	doc_id	keyword
0	2	LargeLanguageModels Retrieval-AugmentedThoughtProcess Monte-CarloTreeSearch Question-AnsweringwithPrivateData EthicsandSecurity
1	4	AcademicDomain KnowledgeGraph DataMining KnowledgeEmbedding NetworkRepresentationLearning Knowledgegraph Academicdomain Datamining Networkembedding Entityalignment
2	40	Knowledgegraph Querying Querying Embedding Multimodaldata Naturallanguagequestions KnowledgeGraphs DeepLearning NaturalLanguageQuestions DataManagement
3	235	SchemaLinkingErrors FilteringUnnecessaryTablesandColumns Schema-Linking CodeLlama-34B CodeLlama-34B CodeLlama-34B GPT4 Text-to-SQL Text-to-SQL SchemaLinking SQLGeneration SQLGeneration GPT-4 GPT-4 Schemalinking
4	282	Vectordatabase Approximatenearestneighborsearch Hash-based Hash-based Tree-based Tree-based Graph-based Graph-based Quantization-based Largelanguagemodels VectorDatabase ApproximateNearestNeighborSearch
5	297	deeplearning deeplearning database data-drivenapplications data-drivenapplications imageclassification imageclassification speechrecognition speechrecognition databases
6	434	vectordatabases similaritysearch queryprocessing storageandindexing queryoptimizationandexecution Vectordatabasemanagementsystems Vectordatamanagement Queryprocessing Storageandindexing Queryoptimizationandexecution
7	447	LargeLanguageModels VectorDatabases Hallucinations Hallucinations OutdatedKnowledge OutdatedKnowledge MemoryIssues MemoryIssues LargeLanguageModels(LLMs) VectorDatabases(VecDBs)
8	571	In-memorydistributeddatabase RDMA(RemoteDirectMemoryAccess) FaRM(Fault-tolerantAbstractRemoteMemory) Highthroughput Lowlatency In-memorydatabase RDMA FaRM Graphabstraction Queryexecution
9	626	DatabaseManagementSystems DBMSs QueryOptimization PerformanceIssues CardinalityEstimation queryperformance queryoptimization cardinalityestimation DBMStesting CERT
10	727	Databasetesting Databasetesting Testoracle Testoracle Queryplan Mutationtesting Mutationtesting SQL SQL Queryplanguidance
11	800	KnowledgeGraph InternetofThings(IoT) LightweightEncryptionAlgorithms(LEA) PartialDifferenceDistributionTable(PDDT) DifferentialSecurityAnalysis
12	846	Graphdatabases Pathqueries Context-freegrammars Recursivestatemachines NoSQL Context-freepathquerying ExtendedBackus-NaurForm(EBNF) ExtendedBackus-NaurForm(EBNF) RecursiveStateMachines(RSM) RecursiveStateMachines(RSM) Reachability-onlyandall-pathsproblems context-freepathquerying regularpathqueries Neo4j
13	928	QueryOptimization SubgraphCardinalityEstimation GraphCompression DataGraphs DatabaseSystems
14	1197	Pre-trainedlanguagemodels Knowledge-intensiveNLPtasks Retrieval-augmentedgeneration(RAG) OpendomainQA Languagegeneration
15	1455	LargeLanguageModels Retrieval-AugmentedGeneration Hallucination Knowledge-IntensiveTasks EvaluationFramework
16	1680	LargeLanguageModels Retrieval-AugmentedGeneration RAG LLMs AI-GeneratedContent AIGC
17	1997	ChatGPT DatabaseManagement SemanticDatabaseRepresentation SemanticIntegration TableJoining
18	2044	KnowledgeGraph LargeLanguageModels Question-Answering SemanticRepresentation SQLDatabases
19	2059	Text-to-SQL LLMs Contextualunderstanding Responsecoherence Chain-of-Thought
20	2143	LargeLanguageModels Retrieval-AugmentedGeneration UnstructuredData DocumentAnalytics SemanticDocumentStructure
